award_id,agency_id,vendor_id,vehicle_id,contract_name,award_value,start_date,end_date,naics,psc,keywords,description
HT940216C0001,DON,V001,VEH001,IGF::OT::IGF,51269205263.03,2016-08-01,2025-12-31,"{'code': '524114', 'description': 'DIRECT HEALTH AND MEDICAL INSURANCE CARRIERS'}","{'code': 'Q201', 'description': 'MEDICAL- MANAGED HEALTHCARE'}",data analytics;Power BI;decision support,Public USAspending.gov award row curated for dashboard demo.
N0001917C0001,NAVSEA,V002,VEH002,LRIP LOT 12 ADVANCE ACQUISITION CONTRACT,35135514910.2,2017-11-17,2031-03-31,"{'code': '336411', 'description': 'AIRCRAFT MANUFACTURING'}","{'code': '1510', 'description': 'AIRCRAFT, FIXED WING'}",AI;machine learning;data governance,Public USAspending.gov award row curated for dashboard demo.
N0002417C2100,CDAO,V003,VEH003,SSN 802 AND 803 LONG LEAD TIME MATERIAL,34664168826.0,2017-02-14,2036-06-02,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1905', 'description': 'COMBAT SHIPS AND LANDING VESSELS'}",knowledge management;SharePoint;workflow automation,Public USAspending.gov award row curated for dashboard demo.
N0001902C3002,DISA,V002,VEH004,200204!008532!1700!AF600 !NAVAL AIR SYSTEMS COMMAND       !N0001902C3002  !A!N! !N!                   !20011026!20120430,34173959111.96,2001-10-26,2022-12-16,"{'code': '336411', 'description': 'AIRCRAFT MANUFACTURING'}","{'code': 'AC15', 'description': 'NATIONAL DEFENSE R&D SVCS; DEPARTMENT OF DEFENSE - MILITARY; R&D FACILITIES & MAJ EQUIP'}",cyber;data engineering;cloud,Public USAspending.gov award row curated for dashboard demo.
FA862511C6600,USAF,V004,VEH005,KC-X MODERNIZATION PROGRAM,31960918249.03,2011-02-24,2027-07-31,"{'code': '336411', 'description': 'AIRCRAFT MANUFACTURING'}","{'code': '1510', 'description': 'AIRCRAFT, FIXED WING'}",digital transformation;data visualization,Public USAspending.gov award row curated for dashboard demo.
N0001920C0009,ARMY,V002,VEH006,THE PURPOSE OF THIS MODIFICATION IS TO AWARD F-35A LRIP 15 USAF  AIRCRAFT* LONG LEAD FUNDING,30140182630.06,2019-11-26,2028-06-01,"{'code': '336411', 'description': 'AIRCRAFT MANUFACTURING'}","{'code': '1510', 'description': 'AIRCRAFT, FIXED WING'}",acquisition analytics;decision support;Power BI,Public USAspending.gov award row curated for dashboard demo.
N0002417C2117,DHA,V003,VEH007,COLUMBIA CLASS DESIGN COMPLETION,26699845470.0,2017-09-21,2031-12-31,"{'code': '541330', 'description': 'ENGINEERING SERVICES'}","{'code': '1905', 'description': 'COMBAT SHIPS AND LANDING VESSELS'}",RAG;LLM;enterprise search;knowledge management,Public USAspending.gov award row curated for dashboard demo.
N0001923C0003,GSA,V002,VEH008,"THE PURPOSE OF THIS CONTRACT IS TO AWARD LONG LEAD FUNDING FOR F-35A, F-35B, AND F-35C AIRCRAFT FOR U.S. SERVICES, NON-D",24499786640.0,2022-12-23,2030-09-30,"{'code': '336411', 'description': 'AIRCRAFT MANUFACTURING'}","{'code': '1510', 'description': 'AIRCRAFT, FIXED WING'}",Power Platform;workflow automation;data governance,Public USAspending.gov award row curated for dashboard demo.
HT940216C0002,DON,V005,VEH001,IGF::OT::IGF  MANAGED CARE SUPPORT SERVICES IN SUPPORT OF THE TRICARE PROGRAM,23493318778.12,2016-08-01,2026-05-01,"{'code': '524114', 'description': 'DIRECT HEALTH AND MEDICAL INSURANCE CARRIERS'}","{'code': 'Q201', 'description': 'MEDICAL- MANAGED HEALTHCARE'}",data analytics;Power BI;decision support,Public USAspending.gov award row curated for dashboard demo.
HT940211C0003,NAVSEA,V001,VEH002,T3 MANAGED CARE SUPPORT CONTRACT FOR SOUTH REGION,20451127096.53,2011-03-03,2019-03-27,"{'code': '524114', 'description': 'DIRECT HEALTH AND MEDICAL INSURANCE CARRIERS'}","{'code': 'Q201', 'description': 'MEDICAL- MANAGED HEALTHCARE'}",AI;machine learning;data governance,Public USAspending.gov award row curated for dashboard demo.
N0002412C2115,CDAO,V003,VEH003,SSN 792 LONG LEAD TIME MATERIAL,19950067437.0,2012-04-13,2026-03-30,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1905', 'description': 'COMBAT SHIPS AND LANDING VESSELS'}",knowledge management;SharePoint;workflow automation,Public USAspending.gov award row curated for dashboard demo.
HT940210C0002,DISA,V005,VEH004,PROVIDE MANAGED CARE SUPPORT TO THE DEPARTMENT OF DEFENSE TRICARE PROGRAM. CONTRACTOR SHALL ASSIST MILITARY HEALTH SYSTE,19414789943.3,2010-05-13,2025-08-25,"{'code': '524114', 'description': 'DIRECT HEALTH AND MEDICAL INSURANCE CARRIERS'}","{'code': 'Q201', 'description': 'MEDICAL- MANAGED HEALTHCARE'}",cyber;data engineering;cloud,Public USAspending.gov award row curated for dashboard demo.
