vendor_id,vendor_name,uei,vendor_type
V001,Apex Mission Systems,SAMPLEUEI001,Large Business
V002,Northstar Analytics Group,SAMPLEUEI002,Large Business
V003,Potomac Digital Services,SAMPLEUEI003,Small Business
V004,VectorEdge Federal,SAMPLEUEI004,Large Business
V005,Keystone Space Solutions,SAMPLEUEI005,Large Business
V006,Blue Harbor Cyber,SAMPLEUEI006,Small Business
V007,Capitol Program Advisors,SAMPLEUEI007,Small Business
V008,Summit Civic Technologies,SAMPLEUEI008,Small Business
V009,Harbor Data Works,SAMPLEUEI009,Small Business
V010,Mission Knowledge Labs,SAMPLEUEI010,Small Business
V011,Ironclad Cloud Partners,SAMPLEUEI011,Large Business
V012,Federal Insight Studio,SAMPLEUEI012,Small Business
